forecast_origin,valid_time,turbine_id,power_normalized,wind_speed_ms
2026-01-27T00:00:00+00:00,2026-01-27T00:00:00+00:00,turbine_1,0.4770320,3.4000001
2026-01-27T00:00:00+00:00,2026-01-27T00:00:00+00:00,turbine_2,0.5109860,3.4000001
2026-01-27T00:00:00+00:00,2026-01-27T01:00:00+00:00,turbine_1,0.4635969,3.6099999
2026-01-27T00:00:00+00:00,2026-01-27T01:00:00+00:00,turbine_2,0.5063341,3.6099999
2026-01-27T00:00:00+00:00,2026-01-27T02:00:00+00:00,turbine_1,0.4517273,3.4700000
2026-01-27T00:00:00+00:00,2026-01-27T02:00:00+00:00,turbine_2,0.5068921,3.4700000
2026-01-27T00:00:00+00:00,2026-01-27T03:00:00+00:00,turbine_1,0.4333533,3.7500000
2026-01-27T00:00:00+00:00,2026-01-27T03:00:00+00:00,turbine_2,0.4983947,3.7500000
2026-01-27T00:00:00+00:00,2026-01-27T04:00:00+00:00,turbine_1,0.4229798,3.7600000
2026-01-27T00:00:00+00:00,2026-01-27T04:00:00+00:00,turbine_2,0.4791134,3.7600000
2026-01-27T00:00:00+00:00,2026-01-27T05:00:00+00:00,turbine_1,0.4146733,3.9100001
2026-01-27T00:00:00+00:00,2026-01-27T05:00:00+00:00,turbine_2,0.4561855,3.9100001
2026-01-27T00:00:00+00:00,2026-01-27T06:00:00+00:00,turbine_1,0.4082799,4.0599999
2026-01-27T00:00:00+00:00,2026-01-27T06:00:00+00:00,turbine_2,0.4334407,4.0599999
2026-01-27T00:00:00+00:00,2026-01-27T07:00:00+00:00,turbine_1,0.4125339,3.7600000
2026-01-27T00:00:00+00:00,2026-01-27T07:00:00+00:00,turbine_2,0.4380870,3.7600000
2026-01-27T00:00:00+00:00,2026-01-27T08:00:00+00:00,turbine_1,0.4051437,4.2500000
2026-01-27T00:00:00+00:00,2026-01-27T08:00:00+00:00,turbine_2,0.4469652,4.2500000
2026-01-27T00:00:00+00:00,2026-01-27T09:00:00+00:00,turbine_1,0.4097000,4.2500000
2026-01-27T00:00:00+00:00,2026-01-27T09:00:00+00:00,turbine_2,0.4693548,4.2500000
2026-01-27T00:00:00+00:00,2026-01-27T10:00:00+00:00,turbine_1,0.4128898,4.3899999
2026-01-27T00:00:00+00:00,2026-01-27T10:00:00+00:00,turbine_2,0.4834226,4.3899999
2026-01-27T00:00:00+00:00,2026-01-27T11:00:00+00:00,turbine_1,0.4098738,4.6799998
2026-01-27T00:00:00+00:00,2026-01-27T11:00:00+00:00,turbine_2,0.4851178,4.6799998
2026-01-27T00:00:00+00:00,2026-01-27T12:00:00+00:00,turbine_1,0.4054296,4.5999999
2026-01-27T00:00:00+00:00,2026-01-27T12:00:00+00:00,turbine_2,0.4879075,4.5999999
2026-01-27T00:00:00+00:00,2026-01-27T13:00:00+00:00,turbine_1,0.3944889,4.5300002
2026-01-27T00:00:00+00:00,2026-01-27T13:00:00+00:00,turbine_2,0.4919729,4.5300002
2026-01-27T00:00:00+00:00,2026-01-27T14:00:00+00:00,turbine_1,0.3895363,4.2399998
2026-01-27T00:00:00+00:00,2026-01-27T14:00:00+00:00,turbine_2,0.5071788,4.2399998
2026-01-27T00:00:00+00:00,2026-01-27T15:00:00+00:00,turbine_1,0.3898141,4.3099999
2026-01-27T00:00:00+00:00,2026-01-27T15:00:00+00:00,turbine_2,0.5158713,4.3099999
2026-01-27T00:00:00+00:00,2026-01-27T16:00:00+00:00,turbine_1,0.4101597,4.1700001
2026-01-27T00:00:00+00:00,2026-01-27T16:00:00+00:00,turbine_2,0.5271656,4.1700001
2026-01-27T00:00:00+00:00,2026-01-27T17:00:00+00:00,turbine_1,0.4438304,4.0999999
2026-01-27T00:00:00+00:00,2026-01-27T17:00:00+00:00,turbine_2,0.5435656,4.0999999
2026-01-27T00:00:00+00:00,2026-01-27T18:00:00+00:00,turbine_1,0.4853193,3.7400000
2026-01-27T00:00:00+00:00,2026-01-27T18:00:00+00:00,turbine_2,0.5782387,3.7400000
2026-01-27T00:00:00+00:00,2026-01-27T19:00:00+00:00,turbine_1,0.5025433,3.7100000
2026-01-27T00:00:00+00:00,2026-01-27T19:00:00+00:00,turbine_2,0.6006250,3.7100000
2026-01-27T00:00:00+00:00,2026-01-27T20:00:00+00:00,turbine_1,0.4990157,3.6400001
2026-01-27T00:00:00+00:00,2026-01-27T20:00:00+00:00,turbine_2,0.6240565,3.6400001
2026-01-27T00:00:00+00:00,2026-01-27T21:00:00+00:00,turbine_1,0.4807217,3.6400001
2026-01-27T00:00:00+00:00,2026-01-27T21:00:00+00:00,turbine_2,0.6369442,3.6400001
2026-01-27T00:00:00+00:00,2026-01-27T22:00:00+00:00,turbine_1,0.4652003,3.4500000
2026-01-27T00:00:00+00:00,2026-01-27T22:00:00+00:00,turbine_2,0.6333045,3.4500000
2026-01-27T00:00:00+00:00,2026-01-27T23:00:00+00:00,turbine_1,0.4526972,3.5000000
2026-01-27T00:00:00+00:00,2026-01-27T23:00:00+00:00,turbine_2,0.6046603,3.5000000
